1
161.0614,60.4967,49.2389,170.3939
163.3421,62.3647,53.3425,170.1693
162.0942,60.9857,56.5398,170.8845
163.0808,62.3028,60.4557,170.9332
161.4603,59.9548,63.9083,171.2459
160.0196,57.3198,64.0430,171.9434
160.1725,58.2364,64.5897,171.9772
155.7458,49.3137,61.7692,174.7561
151.7207,50.1446,62.0720,175.2718
147.5546,46.9257,60.8143,177.4023
141.8775,47.0944,62.4192,178.2591
137.1966,47.4811,63.4782,177.3116
146.7506,46.4433,59.4373,176.6865
142.1817,48.4029,57.1258,176.5980
137.7354,47.1272,57.6816,176.1530
133.4303,48.5160,58.0429,174.1302
142.1261,48.4487,54.8792,173.6575
137.9712,50.3270,53.1019,172.4497
133.7370,49.4177,53.8672,171.3580
141.6004,52.3156,51.6388,169.6734
137.3509,50.2636,51.1101,169.9495
143.7948,54.8459,50.1747,167.0058
139.2679,53.5586,50.0833,166.6648
147.5049,56.3027,51.0000,163.7364
143.7817,56.0464,50.8209,162.4957
148.5190,56.7811,51.5136,161.7923
145.4860,57.4552,51.5931,161.6693
147.4537,60.7436,50.6322,159.7542
144.2994,60.0631,50.4090,157.9226
141.7140,61.2630,49.7559,156.5940
147.2242,65.3211,48.6532,154.9777
143.2404,65.2514,48.9728,153.3969
144.1651,65.7184,49.1505,152.9630
140.1594,68.3254,50.6604,150.9923
139.4803,68.4361,51.2863,150.1242
135.9955,69.7183,52.3933,148.5969
136.4660,69.4177,53.0250,148.0925
135.3488,69.6494,55.0546,147.5775
134.5198,69.2778,56.4112,147.2446
129.4329,73.1542,57.9706,145.2651
131.0350,74.0820,59.1411,143.2767
128.7284,76.0037,59.6871,142.9373
129.4944,76.2454,60.4407,141.4061
131.2699,75.2725,59.4087,140.8416
132.0134,75.4903,58.9796,140.9848
128.0965,75.2446,59.8736,141.4328
130.6342,75.7456,59.7885,141.0430
129.1051,77.1972,59.8382,140.1711
135.4111,75.7574,58.9483,140.3222
140.4681,76.0444,57.8872,142.1145
137.9056,75.5564,57.8245,142.0222
144.8687,75.0655,56.1055,143.3438
144.5550,74.4283,55.6509,143.5635
147.8736,75.7308,57.1446,143.2346
149.4331,76.1627,58.0265,143.1835
145.1929,76.3808,58.2389,143.7279
143.0448,73.9280,58.5587,145.3573
153.4650,74.3022,60.4544,145.9288
151.8348,73.5798,61.2354,147.5240
160.4029,69.2947,62.1260,148.4561
163.1939,72.1326,63.1324,149.5294
167.6629,72.9607,64.5496,151.7048
165.8593,73.2004,66.2937,152.1263
168.1825,70.6074,67.7335,154.3455
169.0085,70.5396,68.4658,153.8195
172.6034,72.8936,69.5654,154.3518
172.2730,73.3127,70.6581,154.5485
178.7874,73.2627,70.2274,155.3032
179.6142,73.7893,69.8894,155.9680
180.2713,74.2580,71.7178,154.1676
179.0816,73.2710,73.1529,153.8479
178.5956,73.3819,73.8117,156.8247
178.3136,73.7875,74.8507,158.0094
186.6274,72.5210,75.2119,159.8288
185.2553,73.0178,76.2205,161.0323
186.6776,70.5456,76.6143,161.8497
188.7112,70.6170,76.5637,163.6054
203.4976,64.0978,72.8866,166.3582
206.3055,66.3640,70.8105,167.8880
204.0151,60.5687,69.4221,170.3918
201.3874,58.6641,69.3794,171.8355
213.3674,55.9911,66.6985,175.1926
209.7929,52.7895,65.8639,176.3339
207.6091,53.7478,65.8168,176.2315
205.1979,52.7866,65.8362,176.0704
214.2247,44.7751,63.0473,180.3052
211.1085,48.1762,62.4074,182.5515
209.1643,47.4322,61.9100,182.8564
215.6189,48.4545,60.4332,181.4368
212.3783,50.1591,59.8588,180.2552
208.5587,49.5493,59.9580,180.2690
213.5348,57.8567,59.3037,175.7177
215.4572,57.0947,58.4917,173.2582
208.9928,63.7843,60.7134,169.2358
212.6809,65.3627,61.8976,165.3367
202.3435,72.7214,65.8137,158.8833
202.7648,73.0038,68.8165,155.2386
201.4812,78.1216,74.0430,147.9150
201.8921,80.7660,77.4302,143.0684
196.7758,86.4929,80.5039,137.3484
196.7399,89.3509,80.7140,134.4979
191.2298,92.7272,82.3655,131.8056
190.0822,95.0425,84.1390,130.1445
181.8067,96.4485,91.5055,126.5852
177.9129,98.6236,97.1573,123.6456
176.1274,101.1130,102.5276,122.6980
168.4165,98.6179,109.8451,121.4209
170.4292,98.5349,109.7988,122.1043
170.3985,99.5676,107.8765,122.3102
171.5107,99.2013,107.5982,122.9008
178.7360,95.2293,107.3907,124.5180
180.0024,95.3762,106.7629,124.2448
175.2783,92.6144,106.6118,124.0633
179.9942,93.6924,102.8115,124.2325
188.2111,91.4746,100.3111,127.9128
194.2990,87.7804,96.0053,132.7507
199.5958,86.4134,93.5111,134.5695
202.0946,85.7776,91.0645,132.7669
195.4483,86.9071,89.1426,130.4782
